E_COORD;N_COORD;AS18_4
2623000;1163300;3
2623000;1164500;4
2623000;1165400;2
2623000;1166300;2
2623000;1166900;3
2623000;1167200;2
2623000;1167400;2
2623100;1150100;4
2623100;1150500;4
2623100;1150800;2
2623100;1151200;4
2623100;1152200;4
2623100;1152300;4
2623100;1152400;4
2623100;1152600;4
2623100;1153200;2
2623100;1153800;2
2623100;1154100;4
2623100;1154500;2
2622700;1178300;3
2622700;1179100;3
2622800;1167400;2
2622800;1167600;2
2622800;1167900;1
2622800;1168600;4
2622800;1168800;4
2622800;1168900;4
2622800;1169100;4
2624800;1153000;2
2624800;1153100;2
2624800;1153900;3
2624800;1154700;3
2623100;1155100;2
2623100;1156600;3
2623100;1157000;3
2622800;1169200;4
2622800;1169800;4
2622800;1171900;4
2622800;1172300;1
2622800;1172700;3
2622800;1173500;3
2622800;1173600;3
2622800;1174600;2
2622800;1175200;1
2622800;1176000;2
2622800;1176100;2
2622800;1176400;3
2622800;1176500;2
2622800;1176600;3
2622800;1176800;2
2622900;1156800;2
2622900;1156900;2
2622900;1157300;3
2622900;1157500;3
2622900;1157600;3
2622900;1157800;3
2622900;1158000;3
2622900;1158400;3
2622900;1158700;3
2622900;1159000;3
2622900;1159100;3
2622900;1159400;3
2622900;1159800;3
2622900;1160100;3
2622900;1160300;3
2622900;1160700;2
2622900;1160900;2
2622900;1161200;3
2622900;1161400;3
2622900;1161500;3
2622900;1161600;4
2622900;1162200;3
2622900;1162500;3
2621200;1172200;4
2621200;1172300;4
2621200;1172500;4
2621200;1172600;4
2621200;1174100;1
2621200;1174700;3
2621200;1174900;3
2621200;1175200;3
2621200;1175700;3
2621200;1175900;3
2621200;1176300;2
2621200;1176700;3
2621200;1177000;3
2622900;1162700;3
2622900;1163100;3
2622900;1163800;3
2622900;1164600;3
2622900;1165900;3
2622900;1166000;2
2622900;1166700;3
2622900;1167100;3
2623000;1150600;4
2623000;1150900;2
2623000;1151100;4
2623000;1151200;4
2623000;1151400;4
2623000;1151800;4
2623000;1151900;4
2623000;1152200;4
2623000;1152700;4
2623000;1152900;4
2623000;1153600;2
2623000;1154000;4
2623000;1154200;4
2623000;1154400;2
2623000;1155000;3
2623000;1155500;2
2623000;1155700;3
2623000;1156100;3
2623000;1156200;3
2623000;1156700;2
2623000;1156800;2
2623000;1156900;2
2621200;1177600;3
2621200;1177700;3
2621200;1177800;3
2621200;1178400;3
2621200;1179100;3
2621200;1179400;3
2621300;1162400;3
2621300;1162500;3
2621300;1162900;3
2621300;1163000;3
2621300;1163400;2
2621300;1163500;3
2621300;1163900;2
2621300;1164000;2
2621300;1164300;2
2621300;1164800;2
2621300;1165000;2
2621300;1165200;2
2621300;1165900;3
2621300;1166400;2
2621300;1166500;1
2621300;1166800;1
2621300;1167900;2
2621300;1168100;2
2621300;1168800;4
2621300;1168900;4
2621300;1169000;4
2621300;1169100;4
2621300;1169300;4
2621300;1169500;4
